Зенит 40 24
Локомотив 32 24
Краснодар 30 26
Арсенал_Тула 29 17
ЦСКА 27 24
Оренбург 25 18
Рубин 25 11
Спартак 24 25
Ростов 24 17
Ахмат 22 20
Динамо 21 12
Урал 20 18
Уфа 17 9
Крылья_Советов 17 11
Тамбов 38 35
Сочи 35 34
