19 08.12.2019 Зенит Динамо
19 08.12.2019 Спартак Ростов
19 08.12.2019 Краснодар ЦСКА
19 08.12.2019 Тамбов Оренбург
19 08.12.2019 Ахмат Уфа
19 08.12.2019 Сочи Рубин
19 08.12.2019 Арсенал Локомотив
19 08.12.2019 Крылья_Советов Урал
20 01.03.2020 Зенит Локомотив
20 01.03.2020 Краснодар Уфа
20 01.03.2020 Тамбов Рубин
20 01.03.2020 ЦСКА Урал
20 01.03.2020 Динамо Спартак
20 01.03.2020 Ахмат Ростов
20 01.03.2020 Сочи Арсенал
20 01.03.2020 Крылья_Советов Оренбург
21 08.03.2020 Зенит Уфа
21 08.03.2020 Сочи Урал
21 08.03.2020 Спартак Краснодар
21 08.03.2020 Ростов ЦСКА
21 08.03.2020 Динамо Тамбов
21 08.03.2020 Локомотив Ахмат
21 08.03.2020 Рубин Крылья_Советов
21 08.03.2020 Оренбург Арсенал
22 15.03.2020 Зенит Урал
22 15.03.2020 Ростов Локомотив
22 15.03.2020 Тамбов Крылья_Советов
22 15.03.2020 ЦСКА Уфа
22 15.03.2020 Ахмат Динамо
22 15.03.2020 Сочи Краснодар
22 15.03.2020 Арсенал Рубин
22 15.03.2020 Оренбург Спартак
23 22.03.2020 Краснодар Динамо
23 22.03.2020 ЦСКА Зенит
23 22.03.2020 Локомотив Оренбург
23 22.03.2020 Сочи Ростов
23 22.03.2020 Арсенал Спартак
23 22.03.2020 Крылья_Советов Ахмат
23 22.03.2020 Уфа Тамбов
23 22.03.2020 Урал Рубин
24 05.04.2020 Зенит Крылья_Советов
24 05.04.2020 Спартак Уфа
24 05.04.2020 Ростов Арсенал
24 05.04.2020 Динамо ЦСКА
24 05.04.2020 Ахмат Сочи
24 05.04.2020 Рубин Локомотив
24 05.04.2020 Урал Тамбов
24 05.04.2020 Оренбург Краснодар
25 12.04.2020 Ростов Краснодар
25 12.04.2020 Тамбов Зенит
25 12.04.2020 ЦСКА Спартак
25 12.04.2020 Локомотив Крылья_Советов
25 12.04.2020 Сочи Динамо
25 12.04.2020 Арсенал Ахмат
25 12.04.2020 Уфа Рубин
25 12.04.2020 Оренбург Урал
26 19.04.2020 Спартак Тамбов
26 19.04.2020 Краснодар Зенит
26 19.04.2020 Динамо Арсенал
26 19.04.2020 Локомотив Сочи
26 19.04.2020 Ахмат ЦСКА
26 19.04.2020 Рубин Оренбург
26 19.04.2020 Крылья_Советов Ростов
26 19.04.2020 Уфа Урал
27 26.04.2020 Зенит Сочи
27 26.04.2020 Спартак Локомотив
27 26.04.2020 Ростов Уфа
27 26.04.2020 Тамбов Ахмат
27 26.04.2020 Рубин Краснодар
27 26.04.2020 Арсенал Крылья_Советов
27 26.04.2020 Урал Динамо
27 26.04.2020 Оренбург ЦСКА
28 03.05.2020 Краснодар Урал
28 03.05.2020 ЦСКА Рубин
28 03.05.2020 Динамо Крылья_Советов
28 03.05.2020 Локомотив Уфа
28 03.05.2020 Ахмат Зенит
28 03.05.2020 Сочи Спартак
28 03.05.2020 Арсенал Тамбов
28 03.05.2020 Оренбург Ростов
29 10.05.2020 Зенит Оренбург
29 10.05.2020 Спартак Ахмат
29 10.05.2020 Тамбов Сочи
29 10.05.2020 Локомотив ЦСКА
29 10.05.2020 Рубин Ростов
29 10.05.2020 Крылья_Советов Краснодар
29 10.05.2020 Уфа Динамо
29 10.05.2020 Урал Арсенал
30 17.05.2020 Ростов Зенит
30 17.05.2020 Краснодар Ахмат
30 17.05.2020 ЦСКА Тамбов
30 17.05.2020 Динамо Оренбург
30 17.05.2020 Рубин Спартак
30 17.05.2020 Крылья_Советов Сочи
30 17.05.2020 Уфа Арсенал
30 17.05.2020 Урал Локомотив
